1	1	-0.5	0.333778669	0
1	2	-0.45	0.310303908	0
1	3	-0.4	0.287681033	0
1	4	-0.35	0.266127383	0
1	5	-0.3	0.24592425	0
1	6	-0.25	0.227431826	0
1	7	-0.2	0.211100165	0
1	8	-0.15	0.197466123	0
1	9	-0.1	0.187120297	0
1	10	-0.05	0.180628589	0
1	11	0	0.178412203	0
1	12	0.05	0.180628589	0
1	13	0.1	0.187120297	0
1	14	0.15	0.197466123	0
1	15	0.2	0.211100165	0
1	16	0.25	0.227431826	0
1	17	0.3	0.24592425	0
1	18	0.35	0.266127383	0
1	19	0.4	0.287681033	0
1	20	0.45	0.310303908	0
1	21	0.5	0.333778669	0
				
2	1	0.5	0.333778669	0
2	2	0.5	0	0
				
				
3	1	0.5	0	0
3	2	-0.5	0	0
				
4	1	-0.5	0	0
4	2	-0.5	0.333778669	0
