0.0,0.0,225.0,475.0
1.1111111111111112,-308.641975308642,-2861.41975308642,-5697.83950617284
2.2222222222222223,-679.0123456790124,-2861.41975308642,-5461.234567901235
3.3333333333333335,-1111.1111111111113,-2861.41975308642,-5288.395061728395
4.444444444444445,-1604.9382716049383,-2861.41975308642,-5090.864197530865
5.555555555555555,-2160.4938271604938,-2861.41975308642,-4868.641975308642
6.666666666666667,-2777.7777777777783,-2861.41975308642,-4621.728395061728
7.777777777777779,-3456.7901234567908,-2861.41975308642,-4350.123456790123
8.88888888888889,-4197.530864197531,-2861.41975308642,-4053.8271604938273
10.0,-5000.0,-2861.41975308642,-3732.8395061728397
11,-500,-500,-500
12,0,0,0
